Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Shrunken Goblin Skull Earring	10580	1	5
Head	Scaled Mystic Helm	4990	1	5
Face	Crystal Spider Eyes	25282	1	5
Ear	Empty	0	0	0
Neck	Ayillish's Talisman	27249	1	5
Shoulders	Wurm Scale Coat	11976	1	5
Arms	Scaled Hierophant Vambraces	5184	1	5
Back	Cloak of Scales	1546	1	5
Wrist	Velium Blue Diamond Bracelet	30299	1	5
Wrist	Supple Scale Armband	1618	1	5
Range	Thunder Runed War Spear	31205	1	5
Hands	Empty	0	0	0
Primary	Spear of Fate	10651	1	5
Secondary	Sarnak Battle Shield	9205	1	5
Fingers	Knotted Turtlebone Ring	30070	1	5
Fingers	Velium Diamond Wedding Ring	30353	1	5
Chest	Scaled Hierophant Breastplate	5187	1	5
Legs	Scaled Hierophant Greaves	5185	1	5
Feet	Black Fur Boots	1678	1	5
Waist	Sash of the Dragonborn	1623	1	5
Ammo	Empty	0	0	0
General1	Bearskin Potion Bag	17811	1	10
General1-Slot1	Empty	0	0	0
General1-Slot2	Words of Abatement	16037	1	5
General1-Slot3	Rune of Banding	11764	1	5
General1-Slot4	Words of Descrying	11852	1	5
General1-Slot5	Shrine Key	28602	1	5
General1-Slot6	Tooth of the Cobalt Scar	31602	1	5
General1-Slot7	Trakanon Idol	1810	1	5
General1-Slot8	Ivory Imbued Collar	3099	1	5
General1-Slot9	Empty	0	0	0
General1-Slot10	Empty	0	0	0
General2	Large Soiled Bag	17404	1	10
General2-Slot1	Tears of Prexus	11806	1	5
General2-Slot2	Salil's Writ Pg. 288	11718	1	5
General2-Slot3	Spell: Chilling Embrace	30412	1	5
General2-Slot4	Key of Veeshan	1817	1	5
General2-Slot5	Spell: Turning of the Unnatural	30443	1	5
General2-Slot6	Frosty key	20035	1	5
General2-Slot7	Bone finger key	20037	1	5
General2-Slot8	Magnetic Dirk of Distraction	29202	1	5
General2-Slot9	Breath of Ro	11808	1	5
General2-Slot10	Bat Wing	13068	3	5
General3	Hand Made Backpack	17969	1	10
General3-Slot1	Throwing Boulder	8013	3	5
General3-Slot2	Rod of Health	10378	1	5
General3-Slot3	Tserrina's Key	20039	1	5
General3-Slot4	Crystal Key	20033	1	5
General3-Slot5	Small rusty key	20036	1	5
General3-Slot6	Elderberry	14226	8	5
General3-Slot7	Three Toothed Key	20034	1	5
General3-Slot8	Ceremonial Wedding Sword	29211	1	5
General3-Slot9	Salil's Writ Pg. 174	11714	1	5
General3-Slot10	Whip of Strangulation	14734	1	5
General4	Deluxe Toolbox	17877	1	10
General4-Slot1	Echinacea	14247	8	5
General4-Slot2	Lady's Mantle	14249	11	5
General4-Slot3	Hyssop	14248	3	5
General4-Slot4	Fennel	14234	17	5
General4-Slot5	Sumbul	14237	2	5
General4-Slot6	Celandine Herb	14238	2	5
General4-Slot7	Fenugreek	14217	10	5
General4-Slot8	Birthwort	14216	10	5
General4-Slot9	Wolf Blood	14227	10	5
General4-Slot10	Words of Collection (Caza)	11864	1	5
General5	Box of Nil Space	17082	1	10
General5-Slot1	Empty	0	0	0
General5-Slot2	Empty	0	0	0
