Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Shrunken Goblin Skull Earring	10580	1	5
Head	Frostreaver's Velium Crown	30507	1	5
Face	Eyepatch of Plunder	30008	1	5
Ear	Earring of Essence	14714	1	5
Neck	Ayillish's Talisman	27249	1	5
Shoulders	Wurm Scale Coat	11976	1	5
Arms	Haze Panther Sleeves	24855	1	5
Back	Lodizal Shell Shield	22816	1	5
Wrist	Bracer of Benevolence	29686	1	5
Wrist	Bracer of the Hidden	11911	1	5
Range	Adarra's bow of the Unseen	1467	1	5
Hands	Gauntlets of Fiery Might	11624	1	5
Primary	Ragebringer	1664	1	5
Secondary	Vyemm's Fang	31301	1	5
Fingers	Velium Diamond Wedding Ring	30353	1	5
Fingers	Velium Coldain Insignia Ring	30164	1	5
Chest	Shroud of the Dar Brood	27261	1	5
Legs	Gladiator's Chain Leggings	25185	1	5
Feet	Grey Suede Boots	24616	1	5
Waist	White Wolf-hide Girdle	2900	1	5
Ammo	Flight Arrow	8322	15	5
General1	Deluxe Toolbox	17877	1	10
General1-Slot1	Muffin	13014	11	5
General1-Slot2	Muffin	13014	20	5
General1-Slot3	Tooth of the Cobalt Scar	31602	1	5
General1-Slot4	Shrine Key	28602	1	5
General1-Slot5	Trakanon Idol	1810	1	5
General1-Slot6	Key of Veeshan	1817	1	5
General1-Slot7	Lockpicks	13010	1	5
General1-Slot8	Flight Arrow	8322	20	5
General1-Slot9	Flight Arrow	8322	20	5
General1-Slot10	Flight Arrow	8322	20	5
General2	Deluxe Toolbox	17877	1	10
General2-Slot1	Flight Arrow	8322	20	5
General2-Slot2	Flight Arrow	8322	20	5
General2-Slot3	Flight Arrow	8322	20	5
General2-Slot4	Flight Arrow	8322	20	5
General2-Slot5	Flight Arrow	8322	20	5
General2-Slot6	Flight Arrow	8322	20	5
General2-Slot7	Flight Arrow	8322	20	5
General2-Slot8	Flight Arrow	8322	20	5
General2-Slot9	Flight Arrow	8322	20	5
General2-Slot10	Flight Arrow	8322	20	5
General3	Pegasus Feather Cloak	2463	1	5
General4	Kromzek Surveyor Scope	30221	1	5
General5	Deluxe Toolbox	17877	1	10
General5-Slot1	Mrylokar's Vambraces	4552	1	5
General5-Slot2	Blue Flower of Functionality	6814	1	5
General5-Slot3	Velium Blue Diamond Bracelet	30299	1	5
General5-Slot4	Green Flower of Functionality	6816	1	5
General5-Slot5	Journeyman's Boots	2300	1	5
General5-Slot6	Black Flower of Functionality	6817	1	5
General5-Slot7	Mask of Deception	2472	1	5
General5-Slot8	Worker Sledgemallet	12863	1	5
General5-Slot9	Serrated Bone Dirk	7502	1	5
General5-Slot10	Empty	0	0	0
General6	Deluxe Toolbox	17877	1	10
General6-Slot1	10 Dose Kithar's Disease Treatment	14543	1	5
General6-Slot2	10 Dose Ethira's Poison Antidote	14542	1	5
General6-Slot3	10 Dose Blood of the Wolf	14534	1	5
General6-Slot4	10 Dose Blood of the Wolf	14534	1	5
General6-Slot5	10 Dose Blood of the Wolf	14534	1	5
General6-Slot6	Crimson Potion	14518	1	5
General6-Slot7	Crimson Potion	14518	1	5
