Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Jasper Gold Earring	14630	1	5
Head	Ethereal Mist Helm	4881	1	5
Face	Platinum Ruby Veil	14695	1	5
Ear	Healer's Earring	2197	1	5
Neck	Sparkling Soul Necklace	29129	1	5
Shoulders	Weight of the Gods	2924	1	5
Arms	Ethereal Mist Vambraces	4883	1	5
Back	Aegis of Life	12238	1	5
Wrist	Supple Scale Armband	1618	1	5
Wrist	Heavy Dragonhorn Bracers	27133	1	5
Range	Medicine Totem	11967	1	5
Hands	White Satin Gloves	2923	1	5
Primary	Water Sprinkler of Nem Ankh	5532	1	5
Secondary	Shield of Elders	10851	1	5
Fingers	Platinum Fire Wedding Ring	14679	1	5
Fingers	Knotted Turtlebone Ring	30070	1	5
Chest	Ethereal Mist Chestplate	4882	1	5
Legs	Sebilite Scale Leggings	3210	1	5
Feet	Ethereal Mist Boots	4887	1	5
Waist	Belt of the Cenobite	11957	1	5
Ammo	Empty	0	0	0
General1	Backpack	17005	1	8
General1-Slot1	Key of Veeshan	1817	1	5
General1-Slot2	Key to Charasis	2667	1	5
General1-Slot3	Shrine Key	28602	1	5
General1-Slot4	Trakanon Idol	1810	1	5
General1-Slot5	Tooth of the Cobalt Scar	31602	1	5
General1-Slot6	Empty	0	0	0
General1-Slot7	Swirling Sphere of Color	20494	1	5
General1-Slot8	Ethereal Mist Gauntlets	4885	1	5
General2	Deluxe Toolbox	17877	1	10
General2-Slot1	Jasper	10020	19	5
General2-Slot2	Jasper	10020	20	5
General2-Slot3	Empty	0	0	0
General2-Slot4	Peridot	10028	14	5
General2-Slot5	Empty	0	0	0
General2-Slot6	Empty	0	0	0
General2-Slot7	Empty	0	0	0
General2-Slot8	Empty	0	0	0
General2-Slot9	Muffin	13014	19	5
General2-Slot10	Bottle of Milk	13087	18	5
General3	Tome of Endless Enchantments	17500	1	10
General3-Slot1	Crystallized Pumice	14524	1	5
General3-Slot2	Crystallized Pumice	14524	1	5
General3-Slot3	Crystallized Pumice	14524	1	5
General3-Slot4	Crystallized Pumice	14524	1	5
General3-Slot5	Crystallized Pumice	14524	1	5
General3-Slot6	Crystallized Pumice	14524	1	5
General3-Slot7	Spell: Banishment	19262	1	5
General3-Slot8	Spell: Greater Vocaration: Air	19371	1	5
General3-Slot9	Spell: Wake of Tranquility	19215	1	5
General3-Slot10	Empty	0	0	0
General4	Lexicon	17903	1	10
General4-Slot1	Crystallized Pumice	14524	1	5
