Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Black Sapphire Electrum Earring	14701	1	5
Head	Ethereal Mist Helm	4881	1	5
Face	Sarnak-Hide Mask	2734	1	5
Ear	Forest Loop	11538	1	5
Neck	White Gold Necklace	10147	1	5
Shoulders	Bloodstained Mantle	3309	1	5
Arms	Gatorscale Sleeves	2458	1	5
Back	Hooded Black Cloak	1409	1	5
Wrist	Wolf's Eye Golden Bracelet	14646	1	5
Wrist	Runed Mithril Bracer	4406	1	5
Range	Preserved Split Paw Eye	16848	1	5
Hands	Iksar Scaled Gloves	11980	1	5
Primary	Wraith Bone Hammer	6382	1	5
Secondary	Pearl Kedge Totem	10335	1	5
Fingers	Platinum Jacinth Wedding Ring	14699	1	5
Fingers	Platinum Jacinth Wedding Ring	14699	1	5
Chest	Robe of Living Fungus	99512	1	5
Legs	Gatorscale Leggings	2461	1	5
Feet	Empty	0	0	0
Waist	Straw Spun Belt	11545	1	5
Ammo	Empty	0	0	0
General1	Deluxe Toolbox	17877	1	10
General1-Slot1	Ration	13007	18	5
General1-Slot2	Water Flask	13006	18	5
General1-Slot3	Ration	13007	20	5
General1-Slot4	Water Flask	13006	20	5
General1-Slot5	Tooth of the Cobalt Scar	31602	1	5
General1-Slot6	Shrine Key	28602	1	5
General1-Slot7	Peridot	10028	4	5
General1-Slot8	Peridot	10028	20	5
General1-Slot9	Orb of Frozen Water	28049	1	5
General1-Slot10	Ornate Sea Shell	28056	1	5
General2	Deluxe Toolbox	17877	1	10
General2-Slot1	Empty	0	0	0
General2-Slot2	Empty	0	0	0
General2-Slot3	Empty	0	0	0
General2-Slot4	Empty	0	0	0
General2-Slot5	Empty	0	0	0
General2-Slot6	Empty	0	0	0
General2-Slot7	Empty	0	0	0
General2-Slot8	Empty	0	0	0
General2-Slot9	Empty	0	0	0
General2-Slot10	Empty	0	0	0
General3	Deluxe Toolbox	17877	1	10
General3-Slot1	Empty	0	0	0
General3-Slot2	Empty	0	0	0
General3-Slot3	Empty	0	0	0
General3-Slot4	Empty	0	0	0
General3-Slot5	Empty	0	0	0
General3-Slot6	Empty	0	0	0
General3-Slot7	Empty	0	0	0
General3-Slot8	Empty	0	0	0
General3-Slot9	Empty	0	0	0
General3-Slot10	Empty	0	0	0
General4	Kromzek Surveyor Scope	30221	1	5
General5	Deluxe Toolbox	17877	1	10
General5-Slot1	Black Sapphire Electrum Earring	14701	1	5
General5-Slot2	Wolf's Eye Golden Bracelet	14646	1	5
General5-Slot3	Empty	0	0	0
General5-Slot4	Empty	0	0	0
General5-Slot5	Empty	0	0	0
General5-Slot6	Empty	0	0	0
General5-Slot7	Empty	0	0	0
General5-Slot8	Empty	0	0	0
General5-Slot9	Empty	0	0	0
General5-Slot10	Empty	0	0	0
General6	Deluxe Toolbox	17877	1	10
General6-Slot1	Empty	0	0	0
General6-Slot2	Empty	0	0	0
General6-Slot3	Empty	0	0	0
General6-Slot4	Empty	0	0	0
General6-Slot5	Empty	0	0	0
General6-Slot6	Empty	0	0	0
General6-Slot7	Empty	0	0	0
General6-Slot8	Empty	0	0	0
General6-Slot9	Empty	0	0	0
General6-Slot10	Empty	0	0	0
General7	Deluxe Toolbox	17877	1	10
General7-Slot1	Empty	0	0	0
General7-Slot2	Empty	0	0	0
General7-Slot3	Empty	0	0	0
General7-Slot4	Empty	0	0	0
General7-Slot5	Empty	0	0	0
General7-Slot6	Empty	0	0	0
General7-Slot7	Empty	0	0	0
General7-Slot8	Empty	0	0	0
General7-Slot9	Empty	0	0	0
General7-Slot10	Empty	0	0	0
General8	Empty	0	0	0
Held	Empty	0	0	0
Bank1	Large Sewing Kit	17880	1	8
Bank1-Slot1	Fishing Pole	13100	1	5
Bank1-Slot2	Fishing Pole	13100	1	5
Bank1-Slot3	Fishing Pole	13100	1	5
Bank1-Slot4	Fresh Fish	13019	20	5
Bank1-Slot5	Koada Cichlid	22764	20	5
Bank1-Slot6	Fresh Fish	13019	17	5
Bank1-Slot7	Fish Scales	13076	20	5
Bank1-Slot8	Koada Cichlid	22764	6	5
Bank2	Large Sewing Kit	17880	1	8
Bank2-Slot1	Fish Scales	13076	17	5
Bank2-Slot2	Peridot	10028	2	5
Bank2-Slot3	Jarsath Scale Helm	3251	1	5
Bank2-Slot4	Faded Silver Tunic*	13546	1	5
Bank2-Slot5	Empty	0	0	0
Bank2-Slot6	Empty	0	0	0
Bank2-Slot7	Splintered Wooden Key	20361	1	5
