Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Earring of Essence	14714	1	5
Head	Crown of King Tranix	4504	1	5
Face	Eyepatch of Plunder	30008	1	5
Ear	Shrunken Goblin Skull Earring	10580	1	5
Neck	Ayillish's Talisman	27249	1	5
Shoulders	Strength of the Elements	24070	1	5
Arms	Haze Panther Sleeves	24855	1	5
Back	Shroud of the Dar Brood	27261	1	5
Wrist	Bracer of Benevolence	29686	1	5
Wrist	Bracer of the Hidden	11911	1	5
Range	Talisen, Bow of the Trailblazer	2743	1	5
Hands	Coldain Skin Gloves	25026	1	5
Primary	Ragebringer	1664	1	5
Secondary	Primal Velium Spear	27322	1	5
Fingers	Velium Jacinth Wedding Ring	30349	1	5
Fingers	Coldain Hero's Insignia Ring	30369	1	5
Chest	Fungus Covered Scale Tunic	2735	1	5
Legs	Gladiator's Chain Leggings	25185	1	5
Feet	Barbed Dragonscale Boots	25029	1	5
Waist	Ravenscale Belt	3167	1	5
Ammo	Flight Arrow	8322	18	5
General1	Bag of the Tinkerers	17403	1	10
General1-Slot1	Tooth of the Cobalt Scar	31602	1	5
General1-Slot2	Ration	13007	3	5
General1-Slot3	Shrine Key	28602	1	5
General1-Slot4	Key of Veeshan	1817	1	5
General1-Slot5	Trakanon Idol	1810	1	5
General1-Slot6	Empty	0	0	0
General1-Slot7	A Singed Scroll	18170	1	5
General1-Slot8	Mechanized Lockpicks	16865	1	5
General1-Slot9	Flight Arrow	8322	20	5
General1-Slot10	Flight Arrow	8322	20	5
General2	Tome of Endless Enchantments	17500	1	10
General2-Slot1	Sealed Poison Vial	16967	20	5
General2-Slot2	Sealed Poison Vial	16967	11	5
General2-Slot3	Ethereal Suspension	16975	20	5
General2-Slot4	Ethereal Suspension	16975	11	5
General2-Slot5	Creeper Ivy	16971	20	5
General2-Slot6	Creeper Ivy	16971	11	5
General2-Slot7	Creeper Ivy	16971	20	5
General2-Slot8	Creeper Ivy	16971	11	5
General2-Slot9	Flight Arrow	8322	20	5
General2-Slot10	Flight Arrow	8322	20	5
General3	Mortar and Pestle	17904	1	6
General3-Slot1	Empty	0	0	0
General3-Slot2	Flight Arrow	8322	20	5
General3-Slot3	Flight Arrow	8322	20	5
General3-Slot4	Flight Arrow	8322	20	5
General3-Slot5	Flight Arrow	8322	20	5
General3-Slot6	Flight Arrow	8322	20	5
General4	Mask of Deception	2472	1	5
General5	Darkwood Trunk	17703	1	10
General5-Slot1	Bracer of Benevolence	29686	1	5
General5-Slot2	Blue Flower of Functionality	6814	1	5
General5-Slot3	Journeyman's Boots	2300	1	5
General5-Slot4	Green Flower of Functionality	6816	1	5
General5-Slot5	Pegasus Feather Cloak	2463	1	5
General5-Slot6	Black Flower of Functionality	6817	1	5
General5-Slot7	Worker Sledgemallet	12863	1	5
General5-Slot8	White Flower of Functionality	6815	1	5
General5-Slot9	Kreizenn's Flame	31343	1	5
General5-Slot10	Empty	0	0	0
General6	Empty	0	0	0
General7	Empty	0	0	0
General8	Empty	0	0	0
Held	Empty	0	0	0
Bank1	Tome of Endless Enchantments	17500	1	10
Bank1-Slot1	Flight Arrow	8322	20	5
Bank1-Slot2	Flight Arrow	8322	20	5
Bank1-Slot3	Flight Arrow	8322	20	5
Bank1-Slot4	Flight Arrow	8322	20	5
Bank1-Slot5	Flight Arrow	8322	20	5
Bank1-Slot6	Flight Arrow	8322	20	5
Bank1-Slot7	Flight Arrow	8322	20	5
Bank1-Slot8	Flight Arrow	8322	20	5
Bank1-Slot9	Flight Arrow	8322	20	5
Bank1-Slot10	Flight Arrow	8322	20	5
Bank2	Tome of Endless Enchantments	17500	1	10
Bank2-Slot1	Flight Arrow	8322	20	5
Bank2-Slot2	Flight Arrow	8322	20	5
Bank2-Slot3	Flight Arrow	8322	20	5
Bank2-Slot4	Flight Arrow	8322	20	5
Bank2-Slot5	Flight Arrow	8322	20	5
Bank2-Slot6	Flight Arrow	8322	20	5
Bank2-Slot7	Flight Arrow	8322	20	5
Bank2-Slot8	Flight Arrow	8322	20	5
Bank2-Slot9	Flight Arrow	8322	20	5
Bank2-Slot10	Flight Arrow	8322	20	5
Bank3	Tome of Endless Enchantments	17500	1	10
Bank3-Slot1	Creeper Ivy	16971	2	5
Bank3-Slot2	Creeper Ivy	16971	20	5
Bank3-Slot3	Creeper Ivy	16971	20	5
Bank3-Slot4	Creeper Ivy	16971	20	5
Bank3-Slot5	Creeper Ivy	16971	20	5
Bank3-Slot6	Creeper Ivy	16971	20	5
Bank3-Slot7	Creeper Ivy	16971	20	5
Bank3-Slot8	Creeper Ivy	16971	20	5
Bank3-Slot9	Creeper Ivy	16971	20	5
Bank3-Slot10	Creeper Ivy	16971	20	5
Bank4	Tome of Endless Enchantments	17500	1	10
Bank4-Slot1	Ethereal Suspension	16975	11	5
Bank4-Slot2	Sealed Poison Vial	16967	14	5
Bank4-Slot3	Ethereal Suspension	16975	20	5
Bank4-Slot4	Sealed Poison Vial	16967	20	5
Bank4-Slot5	Ethereal Suspension	16975	20	5
Bank4-Slot6	Sealed Poison Vial	16967	20	5
Bank4-Slot7	Ethereal Suspension	16975	20	5
