Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Hammered Golden Loop	5705	1	5
Head	Crown of Rile	10913	1	5
Face	Silver Mask of the Slayer	31464	1	5
Ear	Living Thunder Earring	25045	1	5
Neck	Silver Disk	31347	1	5
Shoulders	Strength of the Elements	24070	1	5
Arms	Haze Panther Sleeves	24855	1	5
Back	Cloak of the Falling Stars	25207	1	5
Wrist	Silver Bracelet of Speed	31461	1	5
Wrist	Bracer of the Hidden	11911	1	5
Range	Priceless Velium Reinforced Bow	27306	1	5
Hands	Gloves of Stability	31402	1	5
Primary	Mrylokar's Dagger of Vengeance	1819	1	5
Secondary	Ragebringer	1664	1	5
Fingers	Reaper's Ring	31319	1	5
Fingers	Velium Coldain Insignia Ring	30164	1	5
Chest	Fungus Covered Scale Tunic	2735	1	5
Legs	Ancient Wyvern Hide Leggings	31386	1	5
Feet	Mithril Boots	1099	1	5
Waist	Belt of Dwarf Slaying	25858	1	5
Ammo	Flight Arrow	8322	4	5
General1	Darkwood Trunk	17703	1	10
General1-Slot1	Trakanon Idol	1810	1	5
General1-Slot2	Key to Charasis	2667	1	5
General1-Slot3	Shrine Key	28602	1	5
General1-Slot4	Sleeper's Key	27265	1	5
General1-Slot5	Tooth of the Cobalt Scar	31602	1	5
General1-Slot6	Earring of Essence	14714	1	5
General1-Slot7	Mask of Deception	2472	1	5
General1-Slot8	Bracer of Benevolence	29686	1	5
General1-Slot9	Cap of the Insubstantial	2474	1	5
General1-Slot10	Mrylokar's Breastplate	4551	1	5
General2	Box of Nil Space	17082	1	10
General2-Slot1	Worker Sledgemallet	12863	1	5
General2-Slot2	10 Dose Ant's Potion	14536	1	5
General2-Slot3	Spell: Manastorm	19370	1	5
General2-Slot4	10 Dose Ethira's Poison Antidote	14542	1	5
General2-Slot5	Crushed Emerald	25835	1	5
General2-Slot6	10 Dose Kithar's Disease Treatment	14543	1	5
General2-Slot7	Empty	0	0	0
General2-Slot8	10 Dose Blood of the Wolf	14534	1	5
General2-Slot9	Empty	0	0	0
General2-Slot10	Spirit of Sloth	14091	1	5
General3	Fleeting Quiver	1844	1	6
General3-Slot1	Empty	0	0	0
General3-Slot2	Flight Arrow	8322	9	5
General3-Slot3	Empty	0	0	0
General3-Slot4	Flight Arrow	8322	20	5
General3-Slot5	Flight Arrow	8322	20	5
General3-Slot6	Flight Arrow	8322	20	5
General4	Amulet of Necropotence	11646	1	5
General5	Light Burlap Sack	17353	1	8
General5-Slot1	Pegasus Feather Cloak	2463	1	5
General5-Slot2	Black Flower of Functionality	6817	1	5
General5-Slot3	Empty	0	0	0
General5-Slot4	Kromzek Surveyor Scope	30221	1	5
General5-Slot5	Golem Metal Wand	14313	1	5
General5-Slot6	Empty	0	0	0
General5-Slot7	Journeyman's Boots	2300	1	5
General5-Slot8	Empty	0	0	0
General6	Fletching Kit	17910	1	8
General6-Slot1	Mechanized Lockpicks	16865	1	5
General6-Slot2	Mechanized Lockpicks	16865	1	5
General6-Slot3	Leatherfoot Raider Skullcap	1805	1	5
General6-Slot4	Empty	0	0	0
General6-Slot5	Nathsar Vambraces	5718	1	5
General6-Slot6	Eyepatch of Plunder	30008	1	5
General6-Slot7	Belt of the Great Turtle	30072	1	5
General6-Slot8	Wurm Scale Coat	11976	1	5
General7	Bag of the Tinkerers	17403	1	10
General7-Slot1	Locustlure	7214	1	5
General7-Slot2	Fishbone Earring	10313	1	5
General7-Slot3	Serrated Bone Dirk	7502	1	5
General7-Slot4	Sword of Skyfire	5151	1	5
General7-Slot5	Key of Veeshan	1817	1	5
General7-Slot6	Club of the Ice Ocean	30071	1	5
General7-Slot7	Primal Velium Warsword	27328	1	5
General7-Slot8	Journeyman's Walking Stick	6618	1	5
General7-Slot9	Claw of Lightning	31379	1	5
General7-Slot10	Razor Fang of Xygoz	24649	1	5
General8	Deluxe Toolbox	17877	1	10
General8-Slot1	Earthshaker	5667	1	5
General8-Slot2	10 Dose Blood of the Wolf	14534	1	5
General8-Slot3	Spirit of Sloth	14091	1	5
General8-Slot4	10 Dose Kithar's Disease Treatment	14543	1	5
General8-Slot5	Crystallized Pumice	14524	1	5
General8-Slot6	10 Dose Ethira's Poison Antidote	14542	1	5
General8-Slot7	Crystallized Pumice	14524	1	5
General8-Slot8	Crystallized Pumice	14524	1	5
General8-Slot9	Crystallized Pumice	14524	1	5
General8-Slot10	Crystallized Pumice	14524	1	5
Held	Empty	0	0	0
Bank1	Deluxe Toolbox	17877	1	10
Bank1-Slot1	Spell: Vocarate: Water	19362	1	5
Bank1-Slot2	Spell: Evacuate	19336	1	5
Bank1-Slot3	Spell: Translocate: Group	19474	1	5
Bank1-Slot4	Spell: Pillar of Frost	19318	1	5
