Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Earring of Essence	14714	1	5
Head	Crown of King Tranix	4504	1	5
Face	Eyepatch of Plunder	30008	1	5
Ear	Shrunken Goblin Skull Earring	10580	1	5
Neck	Ayillish's Talisman	27249	1	5
Shoulders	Strength of the Elements	24070	1	5
Arms	Gladiator's Chain Sleeves	25184	1	5
Back	Shroud of the Dar Brood	27261	1	5
Wrist	Bracer of Benevolence	29686	1	5
Wrist	Bracer of the Hidden	11911	1	5
Range	Priceless Velium Reinforced Bow	27306	1	5
Hands	Coldain Skin Gloves	25026	1	5
Primary	Ragebringer	1664	1	5
Secondary	Dragonspine Rapier	5842	1	5
Fingers	Velium Jacinth Wedding Ring	30349	1	5
Fingers	Coldain Hero's Insignia Ring	30369	1	5
Chest	Fungus Covered Scale Tunic	2735	1	5
Legs	Gladiator's Chain Leggings	25185	1	5
Feet	Barbed Dragonscale Boots	25029	1	5
Waist	Ravenscale Belt	3167	1	5
Ammo	Flight Arrow	8322	15	5
General1	Large Soiled Bag	17404	1	10
General1-Slot1	Empty	0	0	0
General1-Slot2	Muffin	13014	11	5
General1-Slot3	Sleeper's Key	27265	1	5
General1-Slot4	Shrine Key	28602	1	5
General1-Slot5	Key of Veeshan	1817	1	5
General1-Slot6	Trakanon Idol	1810	1	5
General1-Slot7	Tooth of the Cobalt Scar	31602	1	5
General1-Slot8	Mechanized Lockpicks	16865	1	5
General1-Slot9	Empty	0	0	0
General1-Slot10	Empty	0	0	0
General2	Lexicon	17903	1	10
General2-Slot1	Spirit of Sloth	14091	1	5
General2-Slot2	Sealed Poison Vial	16967	9	5
General2-Slot3	Spirit of Sloth	14091	1	5
General2-Slot4	Ethereal Suspension	16975	9	5
General2-Slot5	Spirit of Sloth	14091	1	5
General2-Slot6	Creeper Ivy	16971	9	5
General2-Slot7	Spirit of Sloth	14091	1	5
General2-Slot8	Creeper Ivy	16971	9	5
General2-Slot9	Empty	0	0	0
General2-Slot10	Empty	0	0	0
General3	Tome of Endless Enchantments	17500	1	10
General3-Slot1	Flight Arrow	8322	20	5
General3-Slot2	Flight Arrow	8322	20	5
General3-Slot3	Flight Arrow	8322	20	5
General3-Slot4	Flight Arrow	8322	20	5
General3-Slot5	Flight Arrow	8322	20	5
General3-Slot6	Flight Arrow	8322	20	5
General3-Slot7	Flight Arrow	8322	20	5
General3-Slot8	Empty	0	0	0
General3-Slot9	Empty	0	0	0
General3-Slot10	Empty	0	0	0
General4	Mask of Deception	2472	1	5
General5	Bag of the Tinkerers	17403	1	10
General5-Slot1	Pegasus Feather Cloak	2463	1	5
General5-Slot2	Black Flower of Functionality	6817	1	5
General5-Slot3	Journeyman's Boots	2300	1	5
General5-Slot4	White Flower of Functionality	6815	1	5
General5-Slot5	Bracer of Benevolence	29686	1	5
General5-Slot6	Green Flower of Functionality	6816	1	5
General5-Slot7	Worker Sledgemallet	12863	1	5
General5-Slot8	Empty	0	0	0
General5-Slot9	Primal Velium Warsword	27328	1	5
General5-Slot10	Dragonrib Club	5837	1	5
General6	Tome of Endless Enchantments	17500	1	10
General6-Slot1	10 Dose Kithar's Disease Treatment	14543	1	5
General6-Slot2	10 Dose Kithar's Disease Treatment	14543	1	5
General6-Slot3	10 Dose Ethira's Poison Antidote	14542	1	5
General6-Slot4	10 Dose Ethira's Poison Antidote	14542	1	5
General6-Slot5	10 Dose Potion of Stinging Wort	14468	1	5
General6-Slot6	10 Dose Blood of the Wolf	14534	1	5
General6-Slot7	Golem Metal Wand	14313	1	5
General6-Slot8	Golem Metal Wand	14313	1	5
General6-Slot9	Empty	0	0	0
General6-Slot10	Empty	0	0	0
General7	Mortar and Pestle	17904	1	6
General7-Slot1	Crystallized Pumice	14524	1	5
General7-Slot2	Crystallized Pumice	14524	1	5
General7-Slot3	Crystallized Pumice	14524	1	5
General7-Slot4	Crystallized Pumice	14524	1	5
General7-Slot5	Crystallized Pumice	14524	1	5
General7-Slot6	Empty	0	0	0
General8	Empty	0	0	0
Held	Empty	0	0	0
Bank1	Tome of Endless Enchantments	17500	1	10
Bank1-Slot1	Flight Arrow	8322	20	5
Bank1-Slot2	Flight Arrow	8322	20	5
Bank1-Slot3	Flight Arrow	8322	20	5
Bank1-Slot4	Flight Arrow	8322	20	5
Bank1-Slot5	Flight Arrow	8322	20	5
Bank1-Slot6	Flight Arrow	8322	20	5
Bank1-Slot7	Flight Arrow	8322	20	5
Bank1-Slot8	Flight Arrow	8322	20	5
Bank1-Slot9	Flight Arrow	8322	20	5
Bank1-Slot10	Flight Arrow	8322	20	5
Bank2	Tome of Endless Enchantments	17500	1	10
Bank2-Slot1	Flight Arrow	8322	20	5
Bank2-Slot2	Flight Arrow	8322	20	5
Bank2-Slot3	Flight Arrow	8322	20	5
Bank2-Slot4	Flight Arrow	8322	20	5
Bank2-Slot5	Flight Arrow	8322	20	5
Bank2-Slot6	Flight Arrow	8322	20	5
Bank2-Slot7	Flight Arrow	8322	20	5
Bank2-Slot8	Flight Arrow	8322	20	5
Bank2-Slot9	Flight Arrow	8322	20	5
Bank2-Slot10	Flight Arrow	8322	20	5
Bank3	Tome of Endless Enchantments	17500	1	10
