Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Shrunken Goblin Skull Earring	10580	1	5
Head	Circlet of the Falinkan	1867	1	5
Face	Mask of Fall	31323	1	5
Ear	Earring of Essence	14714	1	5
Neck	Entariz's Talisman	27250	1	5
Shoulders	Strength of the Elements	24070	1	5
Arms	Netted Kelp Sleeves	31507	1	5
Back	Shroud of Veeshan	1628	1	5
Wrist	Velium Blue Diamond Bracelet	30299	1	5
Wrist	Bracer of the Hidden	11911	1	5
Range	Student's Homework	29116	1	5
Hands	Coldain Skin Gloves	25026	1	5
Primary	Staff of the Four	14341	1	5
Secondary	Orb of the Infinite Void	25098	1	5
Fingers	Velium Jacinth Wedding Ring	30349	1	5
Fingers	Coldain Hero's Insignia Ring	30369	1	5
Chest	Solist's Robe of Invocation	24627	1	5
Legs	Feathered Leggings	2462	1	5
Feet	Coldain Skin Boots	25027	1	5
Waist	Brell's Girdle	2742	1	5
Ammo	Empty	0	0	0
General1	Deluxe Toolbox	17877	1	10
General1-Slot1	Ration	13007	10	5
General1-Slot2	Water Flask	13006	10	5
General1-Slot3	Ration	13007	20	5
General1-Slot4	Water Flask	13006	20	5
General1-Slot5	Tooth of the Cobalt Scar	31602	1	5
General1-Slot6	Shrine Key	28602	1	5
General1-Slot7	Trakanon Idol	1810	1	5
General1-Slot8	Key of Veeshan	1817	1	5
General1-Slot9	Small Portal Fragments	2093	19	5
General1-Slot10	Small Portal Fragments	2093	20	5
General2	Lexicon	17903	1	10
General2-Slot1	Crystallized Pumice	14524	1	5
General2-Slot2	Crystallized Pumice	14524	1	5
General2-Slot3	Crystallized Pumice	14524	1	5
General2-Slot4	Crystallized Pumice	14524	1	5
General2-Slot5	Crystallized Pumice	14524	1	5
General2-Slot6	Crystallized Pumice	14524	1	5
General2-Slot7	Crystallized Pumice	14524	1	5
General2-Slot8	Crystallized Pumice	14524	1	5
General2-Slot9	Crystallized Pumice	14524	1	5
General2-Slot10	Crystallized Pumice	14524	1	5
General3	Lexicon	17903	1	10
General3-Slot1	Crystallized Pumice	14524	1	5
General3-Slot2	Crystallized Pumice	14524	1	5
General3-Slot3	Crystallized Pumice	14524	1	5
General3-Slot4	Crystallized Pumice	14524	1	5
General3-Slot5	Crystallized Pumice	14524	1	5
General3-Slot6	Crystallized Pumice	14524	1	5
General3-Slot7	Crystallized Pumice	14524	1	5
General3-Slot8	Crystallized Pumice	14524	1	5
General3-Slot9	Crystallized Pumice	14524	1	5
General3-Slot10	Crystallized Pumice	14524	1	5
General4	Lexicon	17903	1	10
General4-Slot1	Crystallized Pumice	14524	1	5
General4-Slot2	Crystallized Pumice	14524	1	5
General4-Slot3	Crystallized Pumice	14524	1	5
General4-Slot4	Crystallized Pumice	14524	1	5
General4-Slot5	Crystallized Pumice	14524	1	5
General4-Slot6	Crystallized Pumice	14524	1	5
General4-Slot7	Crystallized Pumice	14524	1	5
General4-Slot8	Crystallized Pumice	14524	1	5
General4-Slot9	Crystallized Pumice	14524	1	5
General4-Slot10	Crystallized Pumice	14524	1	5
General5	Bag of the Tinkerers	17403	1	10
