Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Earring of the Living Flame	31470	1	5
Head	Crown of the Kromzek Kings	25194	1	5
Face	Silver Mask of the Slayer	31464	1	5
Ear	Sanctum Guardian's Earring	2065	1	5
Neck	Bile Etched Obsidian Choker	1550	1	5
Shoulders	Pauldrons of the Deep Flame	31472	1	5
Arms	White Lotus Arm Wraps	31191	1	5
Back	Cloak of the Falling Stars	25207	1	5
Wrist	Silver Bracelet of Speed	31461	1	5
Wrist	Bracer of the Hidden	11911	1	5
Range	Silver Disk	31347	1	5
Hands	Celestial Fists	10652	1	5
Primary	Primal Velium Brawl Stick	27324	1	5
Secondary	Empty	0	0	0
Fingers	Ring of the Sky	31377	1	5
Fingers	Coldain Hero's Insignia Ring	30369	1	5
Chest	Robe of the Azure Sky	10845	1	5
Legs	Ancient Wurm Hide Greaves	31332	1	5
Feet	Boots of the Destroyer	31336	1	5
Waist	Belt of Dwarf Slaying	25858	1	5
Ammo	Antonian Javelin	21518	15	5
General1	Bag of the Tinkerers	17403	1	10
General1-Slot1	Shrine Key	28602	1	5
General1-Slot2	Holgresh Elder Beads	2669	1	5
General1-Slot3	Sleeper's Key	27265	1	5
General1-Slot4	Tooth of the Cobalt Scar	31602	1	5
General1-Slot5	Jaled Dar's Tomb Key	28060	1	5
General1-Slot6	Key of Veeshan	1817	1	5
General1-Slot7	Key to Charasis	2667	1	5
General1-Slot8	Trakanon Idol	1810	1	5
General1-Slot9	Lizard Blood Potion	1806	1	5
General1-Slot10	Trakanon's Tooth	7276	1	5
General2	Tri-Plated Golden Hackle Hammer	30502	1	5
General3	Crystallized Pumice	14524	1	5
General4	Amulet of Necropotence	11646	1	5
General5	Treasure Hunter`s Satchel	17702	1	10
General5-Slot1	Ornate Velium Pendant	30294	1	5
General5-Slot2	Black Flower of Functionality	6817	1	5
General5-Slot3	Eyepatch of Plunder	30008	1	5
General5-Slot4	White Flower of Functionality	6815	1	5
General5-Slot5	White Lotus Pants	31194	1	5
General5-Slot6	Blue Flower of Functionality	6814	1	5
General5-Slot7	Pegasus Feather Cloak	2463	1	5
General5-Slot8	Green Flower of Functionality	6816	1	5
General5-Slot9	Bracer of Benevolence	29686	1	5
General5-Slot10	Red Flower of Functionality	6813	1	5
General6	Kavruul`s Mystic Pouch	17701	1	10
General6-Slot1	10 Dose Potion of Unlife Awareness	14545	1	5
General6-Slot2	Empty	0	0	0
General6-Slot3	Staff of Null	24628	1	5
General6-Slot4	Ration	13007	19	5
General6-Slot5	Potion of the Frost	14455	1	5
General6-Slot6	Antonian Javelin	21518	20	5
General6-Slot7	10 Dose Ethira's Poison Antidote	14542	1	5
General6-Slot8	Journeyman's Walking Stick	6618	1	5
General6-Slot9	Crimson Potion	14518	1	5
General6-Slot10	Circle of Stones	1804	1	5
General7	Bag of the Tinkerers	17403	1	10
General7-Slot1	Gharn's Rock of Smashing	31241	1	5
General7-Slot2	Primal Velium Fist Wraps	27320	1	5
General7-Slot3	Shiny Brass Idol	1811	1	5
General7-Slot4	Bladestopper	11632	1	5
General7-Slot5	Reaper of the Dead	5374	1	5
General7-Slot6	Journeyman's Boots	2300	1	5
General7-Slot7	Worker Sledgemallet	12863	1	5
General7-Slot8	Empty	0	0	0
General7-Slot9	Fishbone Earring	10313	1	5
General7-Slot10	Antonian Javelin	21518	20	5
General8	Bag of the Tinkerers	17403	1	10
General8-Slot1	Cloudy Potion	14514	1	5
General8-Slot2	Cloudy Potion	14514	1	5
General8-Slot3	Lizard Blood Potion	1806	1	5
