Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Opalline Earring	10407	1	5
Head	Loam Encrusted Cap	1641	1	5
Face	Velium Star Ruby Veil	30341	1	5
Ear	Opalline Earring	10407	1	5
Neck	Ionat's Talisman	27247	1	5
Shoulders	Loam Encrusted Amice	1645	1	5
Arms	Gatorscale Sleeves	2458	1	5
Back	Mystic Cloak	1057	1	5
Wrist	Golden Cat Eye Bracelet	14618	1	5
Wrist	Golden Cat Eye Bracelet	14618	1	5
Range	Sarnak Ceremonial Dagger	11906	1	5
Hands	Incandescent Gloves	2351	1	5
Primary	Rod of Insidious Glamour	6329	1	5
Secondary	A Crude Stein	13355	1	5
Fingers	Overseer`s Signet	5778	1	5
Fingers	Overseer`s Signet	5778	1	5
Chest	Noble's Robes	1891	1	5
Legs	Drake-hide Leggings	2343	1	5
Feet	Loam Encrusted Lined Shoes	1652	1	5
Waist	Empty	0	0	0
Ammo	Empty	0	0	0
General1	Deluxe Toolbox	17877	1	10
General1-Slot1	Empty	0	0	0
General1-Slot2	Canteen of Slush Water	30035	1	5
General1-Slot3	Frozen Sea Biscuits	30036	20	5
General1-Slot4	Canteen of Slush Water	30035	20	5
General1-Slot5	Tooth of the Cobalt Scar	31602	1	5
General1-Slot6	Key to Charasis	2667	1	5
General1-Slot7	Black Sapphire	10036	1	5
General1-Slot8	Tiny Dagger	13080	20	5
General1-Slot9	Bat Wing	13068	6	5
General1-Slot10	Bat Wing	13068	20	5
General2	Deluxe Toolbox	17877	1	10
General2-Slot1	Jasper	10020	1	5
General2-Slot2	Fire Opal	10031	1	5
General2-Slot3	Sapphire Necklace	10050	1	5
General2-Slot4	Empty	0	0	0
General2-Slot5	Spell: Defoliation	19296	1	5
General2-Slot6	Empty	0	0	0
General2-Slot7	Spell: Theft of Thought	19374	1	5
General2-Slot8	Spell: Defoliation	19296	1	5
General2-Slot9	Spell: Quiver of Marr	19354	1	5
General2-Slot10	Spell: Pillar of Lightning	19326	1	5
General3	Deluxe Toolbox	17877	1	10
General3-Slot1	Tome of the Eternal	14719	1	5
General3-Slot2	Trakanon Idol	1810	1	5
General3-Slot3	Empty	0	0	0
General3-Slot4	Torch	13002	1	5
General3-Slot5	Torch	13002	1	5
General3-Slot6	Torch	13002	1	5
General3-Slot7	Empty	0	0	0
General3-Slot8	Empty	0	0	0
General3-Slot9	Empty	0	0	0
General3-Slot10	Empty	0	0	0
General4	Journeyman's Boots	2300	1	5
General5	Deluxe Toolbox	17877	1	10
General5-Slot1	Ornately Runed Shell Necklace	28515	1	5
General5-Slot2	Empty	0	0	0
General5-Slot3	Empty	0	0	0
General5-Slot4	Empty	0	0	0
General5-Slot5	Worker Sledgemallet	12863	1	5
General5-Slot6	Empty	0	0	0
General5-Slot7	Empty	0	0	0
General5-Slot8	Empty	0	0	0
General5-Slot9	Empty	0	0	0
General5-Slot10	Empty	0	0	0
General6	Deluxe Toolbox	17877	1	10
General6-Slot1	Cat Eye Velium Necklace	30309	1	5
General6-Slot2	10 Dose Ethira's Poison Antidote	14542	1	5
General6-Slot3	Empty	0	0	0
General6-Slot4	Empty	0	0	0
General6-Slot5	Empty	0	0	0
General6-Slot6	Empty	0	0	0
General6-Slot7	Empty	0	0	0
General6-Slot8	Empty	0	0	0
General6-Slot9	Empty	0	0	0
General6-Slot10	Empty	0	0	0
General7	Deluxe Toolbox	17877	1	10
General7-Slot1	Fire Emerald Ring	10049	1	5
General7-Slot2	Emerald Ring	10045	1	5
