Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Jasper Gold Earring	14630	1	5
Head	Othmir Fur Cap	24989	1	5
Face	Sky Watcher's Monocle	31328	1	5
Ear	Jasper Gold Earring	14630	1	5
Neck	Idol of Woven Grass	28075	1	5
Shoulders	Weight of the Gods	2924	1	5
Arms	Ethereal Mist Vambraces	4883	1	5
Back	Lodizal Shell Shield	22816	1	5
Wrist	Supple Scale Armband	1618	1	5
Wrist	Bracer of the Hidden	11911	1	5
Range	Othmir Prexus Totem	28514	1	5
Hands	Coldain Skin Gloves	25026	1	5
Primary	Water Sprinkler of Nem Ankh	5532	1	5
Secondary	Book of Obulus	14745	1	5
Fingers	Platinum Jasper Ring	14631	1	5
Fingers	Platinum Jasper Ring	14631	1	5
Chest	Withered Leather Tunic	2285	1	5
Legs	Gatorscale Leggings	2461	1	5
Feet	Coldain Skin Boots	25027	1	5
Waist	Belt of the Cenobite	11957	1	5
Ammo	Empty	0	0	0
General1	Lexicon	17903	1	10
General1-Slot1	Tooth of the Cobalt Scar	31602	1	5
General1-Slot2	Shrine Key	28602	1	5
General1-Slot3	Trakanon Idol	1810	1	5
General1-Slot4	Empty	0	0	0
General1-Slot5	Staff of Elemental Mastery: Water	11569	1	5
General1-Slot6	Fusible Coral Ore	2447	1	5
General1-Slot7	Blue Crystal Staff	14337	1	5
General1-Slot8	Kedge Backbone	20524	1	5
General1-Slot9	Peridot	10028	9	5
General1-Slot10	Peridot	10028	20	5
General2	Lexicon	17903	1	10
General2-Slot1	Rod of Malisement	10374	1	5
General2-Slot2	Empty	0	0	0
General2-Slot3	Muffin	13014	8	5
General2-Slot4	Bladder of Otter Milk	19150	3	5
General2-Slot5	Muffin	13014	20	5
General2-Slot6	Bladder of Otter Milk	19150	20	5
General2-Slot7	Muffin	13014	20	5
General2-Slot8	Bladder of Otter Milk	19150	20	5
General2-Slot9	Muffin	13014	20	5
General2-Slot10	Bladder of Otter Milk	19150	20	5
General3	Lexicon	17903	1	10
General3-Slot1	10 Dose Blood of the Wolf	14534	1	5
General3-Slot2	Empty	0	0	0
General3-Slot3	Cloudy Potion	14514	1	5
General3-Slot4	Empty	0	0	0
General3-Slot5	Cloudy Potion	14514	1	5
General3-Slot6	Empty	0	0	0
General3-Slot7	Empty	0	0	0
General3-Slot8	Empty	0	0	0
General3-Slot9	Empty	0	0	0
General3-Slot10	Empty	0	0	0
General4	Lexicon	17903	1	10
General4-Slot1	Empty	0	0	0
