Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Shrunken Goblin Skull Earring	10580	1	5
Head	Nathsar Helm	5732	1	5
Face	Polished Mithril Mask	4505	1	5
Ear	Forest Loop	11538	1	5
Neck	Black Sapphire Velium Necklace	30351	1	5
Shoulders	Pegasus Feather Cloak	2463	1	5
Arms	Vermiculated Armplates	3803	1	5
Back	Lodizal Shell Shield	22816	1	5
Wrist	Velium Blue Diamond Bracelet	30299	1	5
Wrist	Velium Blue Diamond Bracelet	30299	1	5
Range	Othmir Prexus Totem	28514	1	5
Hands	Gloves of Earthcrafting	1208	1	5
Primary	Nature Walkers Scimitar	20490	1	5
Secondary	Sarnak Battle Shield	9205	1	5
Fingers	Velium Diamond Wedding Ring	30353	1	5
Fingers	Knotted Turtlebone Ring	30070	1	5
Chest	Woven Grass Chestguard	31148	1	5
Legs	Greaves of Harmony	31812	1	5
Feet	Golden Efreeti Boots	4407	1	5
Waist	Drakescale Belt	2338	1	5
Ammo	Empty	0	0	0
General1	Deluxe Toolbox	17877	1	10
General1-Slot1	Pearl	10024	20	5
General1-Slot2	Pearl	10024	20	5
General1-Slot3	Pearl	10024	20	5
General1-Slot4	Pearl	10024	20	5
General1-Slot5	Pearl	10024	20	5
General1-Slot6	Pearl	10024	20	5
General1-Slot7	Pearl	10024	20	5
General1-Slot8	Pearl	10024	20	5
General1-Slot9	Pearl	10024	20	5
General1-Slot10	Pearl	10024	20	5
General2	Deluxe Toolbox	17877	1	10
General2-Slot1	Water Flask	13006	14	5
General2-Slot2	Water Flask	13006	20	5
General2-Slot3	Water Flask	13006	20	5
General2-Slot4	Water Flask	13006	20	5
General2-Slot5	Water Flask	13006	20	5
General2-Slot6	Water Flask	13006	20	5
General2-Slot7	Breath of Solusek	11801	1	5
General2-Slot8	Fine Steel Great Staff	6352	1	5
General2-Slot9	Empty	0	0	0
General2-Slot10	Golem Metal Wand	14313	1	5
General3	Deluxe Toolbox	17877	1	10
General3-Slot1	Flight Arrow	8322	20	5
General3-Slot2	Flight Arrow	8322	20	5
General3-Slot3	Flight Arrow	8322	20	5
General3-Slot4	Flight Arrow	8322	20	5
General3-Slot5	Lizard Blood Potion	1806	1	5
General3-Slot6	Lizard Blood Potion	1806	1	5
General3-Slot7	Lizard Blood Potion	1806	1	5
General3-Slot8	Lizard Blood Potion	1806	1	5
General3-Slot9	Empty	0	0	0
General3-Slot10	Empty	0	0	0
General4	Deluxe Toolbox	17877	1	10
General4-Slot1	Flight Arrow	8322	20	5
General4-Slot2	Flight Arrow	8322	20	5
General4-Slot3	Flight Arrow	8322	20	5
General4-Slot4	Flight Arrow	8322	20	5
General4-Slot5	Flight Arrow	8322	20	5
General4-Slot6	Flight Arrow	8322	20	5
General4-Slot7	Flight Arrow	8322	20	5
General4-Slot8	Flight Arrow	8322	20	5
General4-Slot9	Flight Arrow	8322	20	5
General4-Slot10	Flight Arrow	8322	20	5
General5	Deluxe Toolbox	17877	1	10
General5-Slot1	Blade of the Earthcaller	7243	1	5
General5-Slot2	Ry'Gorr Invasion Plans	30136	1	5
